ID_PRODUCTO,ID,Nombre,Descripcion,Etiquetas,Precio,Cantidad,Cantidad,% Impuesto,Atributos,Sabor,URL FOTO,Foto 1,Foto 2,Foto 3
86,1,Papas Yupi Golpe Con Todo,Bolsa x 140 gr,Snacks,3400,1,,,Sabor,Original,https://cdn.totalcode.com/la14/product-zoom/es/golpe-con-todo-original-140g-1.jpg,,,
86,2,Papas Yupi Golpe Con Todo,Bolsa x 140 gr,Snacks,3400,1,,,Sabor,Ranchero,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/174666-750-750/7703133073509---1.jpg?v=636112866901500000,,,
86,3,Papas Yupi Golpe Con Todo,Bolsa x 140 gr,Snacks,3400,1,,,Sabor,Mayonesa,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3531092-750-750/7703133086745.jpg?v=637310525651830000,,,
87,1,Papas Yupi Rizadas,Bolsa x 250 gr,Snacks,5200,1,,,Sabor,Mayonesa,https://exitocol.vtexassets.com/arquivos/ids/1818135-800-auto?width=800&height=auto&aspect=true,,,
88,1,Papas Yupi Rizadas,Bolsa x 110 gr,Snacks,3200,1,,,Sabor,Natural,https://exitocol.vtexassets.com/arquivos/ids/1818144-800-auto?width=800&height=auto&aspect=true,,,
88,2,Papas Yupi Rizadas,Bolsa x 110 gr,Snacks,3200,1,,,Sabor,Tomate,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3409977-1000-1000/7703133088121.jpg?v=636918079591070000,,,
88,3,Papas Yupi Rizadas,Bolsa x 110 gr,Snacks,3200,1,,,Sabor,Mayonesa,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3531098-1000-1000/7703133088510.jpg?v=637310525670300000,,,
88,4,Papas Yupi Rizadas,Bolsa x 110 gr,Snacks,3200,1,,,Sabor,Pollo,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3531097-1000-1000/7703133088497.jpg?v=637310525666700000,,,
88,5,Papas Yupi Rizadas,Bolsa x 110 gr,Snacks,3200,1,,,Sabor,Limon,https://exitocol.vtexassets.com/arquivos/ids/1818147-800-auto?width=800&height=auto&aspect=true,,,
89,1,Tosti Nacho Yupi ,Bolsa x 160 gr,Snacks,2700,1,,,Sabor,Queso,https://exitocol.vtexassets.com/arquivos/ids/1818153-800-auto?width=800&height=auto&aspect=true,,,
90,1,Tocinetas Fred Yupi ,Bolsa x 100 gr,Snacks,3300,1,,,Sabor,Original,https://metrocolombiafood.vteximg.com.br/arquivos/ids/278588-1000-1000/7703133007283.jpg?v=637310528525400000,,,
91,1,Papas Chefrito Fritas,Bolsa x 138 gr,Snacks,2900,1,,,Sabor,Pollo,,,,
